"","i","con.e","con.se","tre.e","tre.se"
"1",1,221.165,43.734,122.75,30.658
"2",2,199.572,46.274,182.652,43.683
"3",3,129.454,42.381,239.286,38.06
"4",4,194.272,51.13,153.807,38.245
"5",5,246.181,35.762,179.554,45.3
"6",6,225.478,39.592,179.767,35.596
"7",7,160.901,39.478,166.961,44.314
"8",8,219.404,42.687,247.914,28.552
"9",9,172.23,37.657,249.348,33.358
"10",10,148.594,46.676,143.991,37.847
"11",11,135.312,38.461,244.261,36.039
"12",12,216.641,39.945,200.378,32.646
"13",13,294.959,38.296,232.416,37.647
"14",14,214.321,41.451,170.494,39.271
"15",15,174.384,38.487,209.832,40.464
"16",16,202.818,42.904,223.594,39.793
"17",17,164.436,44.598,130.269,39.857
"18",18,270.879,22.316,217.778,42.375
"19",19,173.514,42.788,175.928,42.745
"20",20,250.51,36.895,221.878,41.221
"21",21,229.934,38.682,200.329,41.37
"22",22,228.91,38.762,129.097,34.891
"23",23,132.683,41.083,255.597,43.559
"24",24,181.474,35.529,200.527,38.639
"25",25,161.383,47.625,188.006,42.263
"26",26,237.942,37.672,159.762,41.62
"27",27,84.524,4.593,53.076,12.336
"28",28,200.394,35.671,169.091,43.94
"29",29,176.29,27.567,215.486,45.829
"30",30,234.168,40.05,141.188,42.225
"31",31,125.457,36.485,159.366,38.139
"32",32,144.949,28.802,108.719,31.4
"33",33,223.835,45.932,185.577,43.54
"34",34,15.917,0,15.68,0.224
"35",35,176.533,43.931,252.817,46.606
"36",36,204.001,38.229,188.475,35.135
"37",37,234.071,49.14,211.87,40.789
"38",38,168.904,42.304,180.456,39.244
"39",39,239.61,39.543,178.794,40.43
"40",40,204.2,42.472,248.814,30.603
"41",41,185.513,39.33,251.937,39.453
"42",42,187.193,46.963,197.938,40.542
"43",43,223.917,44.358,187.628,41.556
"44",44,178.95,38.196,217.862,39.457
"45",45,171.745,36.643,163.187,39.051
"46",46,233.176,41.338,234.452,40.119
"47",47,193.27,31.858,169.377,44.011
"48",48,147.854,34.711,163.217,36.8
"49",49,217.039,32.49,173.617,49.628
"50",50,215.079,38.184,239.483,29.058
"51",51,193.834,40.412,147.496,45.032
"52",52,153.12,37.551,246.344,43.069
"53",53,204.622,42.746,219.902,47.344
"54",54,228.397,42.871,187.243,46.833
"55",55,248.339,35.245,246.687,32.54
"56",56,202.408,36.518,182.328,41.14
"57",57,185.464,36.654,208.305,44.364
"58",58,180.383,41.62,143.209,34.306
"59",59,267.993,42.516,176.558,49.053
"60",60,199.062,43.484,228.668,40.618
"61",61,156.138,41.717,233.576,46.035
"62",62,186.425,44.542,204.552,45.734
"63",63,136.831,40.179,129.853,43.335
"64",64,123.387,35.516,176.229,45.14
"65",65,255.401,43.176,166.279,42.93
"66",66,140.104,34.014,172.938,40.433
"67",67,183.64,48.241,199.88,49.992
"68",68,201.071,42.563,259.151,27.255
"69",69,135.472,33.11,166.642,43.304
"70",70,183.099,43.013,186.465,37.652
"71",71,233.003,36.742,179.515,37.19
"72",72,204.342,38.418,200.694,48.455
"73",73,167.871,41.863,122.813,39.592
"74",74,230.114,36.448,148.453,43.239
"75",75,207.878,41.244,209.173,44.748
"76",76,139.73,40.776,176.022,40.801
"77",77,204.549,42.65,155.957,35.418
"78",78,189.588,42.133,252.135,37.593
"79",79,250.706,40.264,217.384,40.904
"80",80,128.282,37.372,220.929,41.929
"81",81,178.856,42.602,140.656,40.793
"82",82,207.057,38.785,232.212,39.804
"83",83,211.561,47.528,231.834,33.973
"84",84,213.43,46.185,189.527,29.914
"85",85,203.229,30.32,147.12,20.103
"86",86,229.859,39.627,180.348,48.876
"87",87,174.772,42.39,193.821,38.132
"88",88,154.672,35.933,155.472,43.823
"89",89,133.465,47.377,211.57,37.277
"90",90,168.047,42.838,164.05,36.315
"91",91,219.552,42.77,132.865,34.938
"92",92,192.329,44.905,173.971,43.259
"93",93,242.547,40.263,198.806,39.252
"94",94,218.883,38.824,196.997,46.107
"95",95,162.207,47.599,109.474,31.517
"96",96,163.215,39.478,165.234,49.087
"97",97,275.638,40.292,202.329,35.841
"98",98,106.866,35.859,157.558,31.87
"99",99,206.789,39.455,212.417,40.441
